S00 ,oz1001 ,2017-05-17 21:32:48.644
oz0100 ,741 , 1
C00 ,oz1001 ,2017-05-21 10:36:02.497
oz0103 ,733 , 5
oz0102 ,774 , 2
oz0100 ,779 , 1
oz0101 ,
C00 ,oz1000 ,2017-05-21 10:37:28.898
oz0100 ,673 , 5
oz0102 ,686 , 2
oz0103 ,778 , 1
oz0101 ,
C00 ,oz1000 ,2017-05-21 10:38:22.667
oz0102 ,518 , 5
oz0103 ,659 , 2
oz0100 ,664 , 1
C00 ,oz1000 ,2017-05-21 10:38:54.645
oz0103 ,611 , 5
oz0100 ,664 , 2
oz0102 ,767 , 1
C00 ,oz1001 ,2017-05-21 10:43:37.795
oz0101 ,681 , 5
oz0102 ,696 , 2
oz0100 ,698 , 1
C00 ,oz1003 ,2017-05-21 10:46:18.945
oz0103 ,665 , 5
oz0101 ,683 , 2
oz0100 ,761 , 1
C00 ,oz1000 ,2017-05-21 10:46:58.279
oz0103 ,606 , 5
oz0101 ,733 , 2
oz0100 ,788 , 1
C00 ,oz1002 ,2017-05-21 10:48:11.181
oz0103 ,628 , 5
oz0101 ,648 , 2
oz0102 ,792 , 1
C00 ,oz1000 ,2017-05-21 10:49:11.13
oz0103 ,714 , 5
oz0102 ,724 , 2
oz0100 ,726 , 1
C00 ,oz1001 ,2017-05-21 10:50:27.484
oz0102 ,741 , 5
oz0100 ,771 , 2
oz0101 ,799 , 1
C00 ,oz1001 ,2017-05-21 10:51:44.233
oz0102 ,564 , 5
oz0100 ,571 , 2
oz0101 ,704 , 1
C00 ,oz1001 ,2017-05-21 10:52:43.655
oz0100 ,571 , 5
oz0101 ,616 , 2
oz0103 ,656 , 1
C00 ,oz1002 ,2017-05-21 11:38:42.167
oz0102 ,555 , 5
oz0103 ,597 , 2
oz0101 ,612 , 1
C00 ,oz1001 ,2017-05-21 12:08:39.173
oz0101 ,556 , 5
oz0106 ,562 , 2
oz0103 ,592 , 1
C00 ,oz1002 ,2017-05-21 12:21:00.356
oz0102 ,565 , 5
oz0100 ,659 , 2
oz0104 ,772 , 1
S00 ,oz1001 ,2017-05-21 12:31:33.972
oz0203 ,110 , 5
oz0205 ,122 , 2
oz0206 ,138 , 1
C00 ,oz1001 ,2017-05-21 12:33:19.753
oz0100 ,511 , 5
oz0101 ,689 , 2
oz0103 ,727 , 1
C00 ,oz1001 ,2017-05-21 12:52:17.697
oz0102 ,501 , 5
oz0103 ,530 , 2
oz0100 ,553 , 1
C00 ,oz1002 ,2017-05-21 14:23:00.500
oz0103 ,521 , 5
oz0100 ,625 , 2
oz0101 ,722 , 1
C00 ,oz1001 ,2017-05-21 14:34:59.947
oz0101 ,587 , 5
oz0102 ,607 , 2
oz0103 ,619 , 1
C00 ,oz1001 ,2017-05-21 14:37:04.763
oz0102 ,672 , 5
oz0101 ,688 , 2
oz0100 ,725 , 1
C00 ,oz1001 ,2017-05-21 14:37:57.446
oz0101 ,500 , 5
oz0102 ,589 , 2
oz0100 ,708 , 1
C00 ,oz1001 ,2017-05-21 14:38:31.192
oz0100 ,565 , 5
oz0101 ,636 , 2
oz0102 ,678 , 1
C00 ,oz1000 ,2017-05-21 14:39:25.132
oz0103 ,611 , 5
oz0100 ,700 , 2
oz0101 ,729 , 1
C00 ,oz1001 ,2017-05-21 14:40:33.539
oz0103 ,503 , 5
oz0101 ,549 , 2
oz0102 ,573 , 1
C00 ,oz1001 ,2017-05-21 14:41:24.168
oz0102 ,541 , 5
oz0103 ,668 , 2
oz0101 ,696 , 1
C00 ,oz1003 ,2017-05-21 14:43:24.675
oz0102 ,630 , 5
oz0103 ,691 , 2
oz0101 ,755 , 1
C00 ,oz1001 ,2017-05-21 14:49:32.328
oz0101 ,501 , 5
oz0100 ,523 , 2
oz0103 ,689 , 1
C00 ,oz1000 ,2017-05-21 14:50:56.847
oz0100 ,604 , 5
oz0103 ,643 , 2
oz0101 ,714 , 1
C00 ,oz1001 ,2017-05-21 14:53:02.272
oz0101 ,551 , 5
oz0103 ,591 , 2
oz0100 ,707 , 1
C00 ,oz1001 ,2017-05-21 14:54:09.601
oz0100 ,505 , 5
oz0101 ,563 , 2
oz0102 ,624 , 1
C00 ,oz1003 ,2017-05-21 14:54:46.131
oz0103 ,528 , 5
oz0101 ,534 , 2
oz0102 ,632 , 1
C00 ,oz1002 ,2017-05-21 14:56:07.468
oz0101 ,619 , 5
oz0102 ,682 , 2
oz0103 ,685 , 1
C00 ,oz1002 ,2017-05-21 14:56:59.690
oz0103 ,583 , 5
oz0102 ,682 , 2
oz0101 ,724 , 1
C00 ,oz1001 ,2017-05-21 15:14:36.999
oz0100 ,558 , 5
oz0101 ,661 , 2
oz0103 ,667 , 1
C00 ,oz1001 ,2017-05-21 15:17:01.400
oz0100 ,510 , 5
oz0103 ,601 , 2
oz0102 ,755 , 1
C00 ,oz1001 ,2017-05-21 15:19:32.678
oz0101 ,590 , 5
oz0100 ,675 , 2
oz0103 ,707 , 1
C00 ,oz1002 ,2017-05-21 15:19:50.598
oz0103 ,528 , 5
oz0101 ,582 , 2
oz0102 ,612 , 1
C00 ,oz1001 ,2017-05-21 15:21:39.393
oz0104 ,591 , 5
oz0100 ,625 , 2
oz0102 ,736 , 1
C00 ,oz1000 ,2017-05-21 15:22:16.364
oz0103 ,561 , 5
oz0100 ,671 , 2
oz0101 ,729 , 1
C00 ,oz1000 ,2017-05-21 15:24:01.535
oz0101 ,537 , 5
oz0100 ,551 , 2
oz0102 ,711 , 1
C00 ,oz1002 ,2017-05-21 15:24:19.325
oz0100 ,534 , 5
oz0102 ,651 , 2
oz0103 ,678 , 1
C00 ,oz1001 ,2017-05-21 15:24:40.784
oz0100 ,575 , 5
oz0101 ,771 , 2
oz0102 ,773 , 1
C00 ,oz1000 ,2017-05-21 15:24:59.117
oz0101 ,505 , 5
oz0100 ,535 , 2
oz0102 ,555 , 1
C00 ,oz1003 ,2017-05-21 15:30:33.716
oz0103 ,555 , 5
oz0102 ,591 , 2
oz0100 ,618 , 1
C01 ,oz1001 ,2017-05-21 15:30:46.720
oz0104 ,511 , 5
oz0105 ,569 , 2
oz0100 ,663 , 1
C00 ,oz1000 ,2017-05-21 15:31:35.422
oz0100 ,535 , 5
oz0102 ,641 , 2
oz0101 ,697 , 1
C00 ,oz1000 ,2017-05-21 15:32:00.962
oz0104 ,505 , 5
oz0103 ,511 , 2
oz0101 ,527 , 1
C00 ,oz1001 ,2017-05-21 15:33:57.282
oz0102 ,569 , 5
oz0104 ,582 , 2
oz0103 ,637 , 1
S00 ,oz1002 ,2017-05-21 15:36:34.243
oz0203 ,101 , 5
oz0204 ,160 , 2
oz0206 ,169 , 1
R01 ,oz1002 ,2017-05-21 15:36:49.135
oz0308 ,10 , 5
oz0400 ,14 , 2
oz0309 ,15 , 1
C00 ,oz1000 ,2017-05-21 15:46:14.620
oz0101 ,515 , 5
oz0100 ,709 , 2
oz0102 ,730 , 1
C01 ,oz1000 ,2017-05-21 15:46:29.542
oz0100 ,690 , 5
oz0101 ,708 , 2
oz0102 ,748 , 1
C02 ,oz1001 ,2017-05-21 15:46:52.04
oz0104 ,572 , 5
oz0103 ,598 , 2
oz0102 ,631 , 1
C00 ,oz1002 ,2017-05-21 15:49:17.975
oz0101 ,528 , 5
oz0103 ,602 , 2
oz0102 ,612 , 1
C00 ,oz1001 ,2017-05-21 15:50:13.858
oz0103 ,505 , 5
oz0101 ,599 , 2
oz0102 ,768 , 1
C00 ,oz1001 ,2017-05-21 15:52:11.885
oz0102 ,620 , 5
oz0101 ,627 , 2
oz0100 ,648 , 1
S01 ,oz1003 ,2017-05-21 15:52:26.07
oz0208 ,105 , 5
oz0206 ,147 , 2
oz0205 ,177 , 1
C00 ,oz1001 ,2017-05-21 15:53:10.272
oz0100 ,583 , 5
oz0101 ,714 , 2
oz0102 ,717 , 1
R01 ,oz1001 ,2017-05-21 15:53:19.913
oz0404 ,12 , 5
oz0406 ,16 , 2
oz0405 ,16 , 1
S02 ,oz1001 ,2017-05-21 15:53:30.589
oz0405 ,106 , 5
oz0406 ,145 , 2
oz0407 ,149 , 1
C03 ,oz1001 ,2017-05-21 15:53:40.950
oz0408 ,630 , 5
oz0407 ,645 , 2
oz0406 ,758 , 1
R00 ,oz1000 ,2017-05-21 15:56:57.485
oz0408 ,12 , 5
oz0407 ,13 , 2
oz0409 ,15 , 1
S01 ,oz1000 ,2017-05-21 15:57:09.759
oz0408 ,123 , 5
oz0407 ,132 , 2
oz0409 ,178 , 1
C00 ,oz1000 ,2017-05-21 16:00:13.192
oz0102 ,712 , 5
oz0106 ,741 , 2
oz0103 ,753 , 1
R00 ,oz1001 ,2017-05-21 16:01:00.806
oz0409 ,11 , 5
oz0402 ,11 , 2
oz0408 ,14 , 1
R00 ,oz1001 ,2017-05-21 16:01:37.659
oz0407 ,11 , 5
oz0404 ,12 , 2
oz0402 ,13 , 1
C00 ,oz1000 ,2017-05-21 16:02:12.322
oz0102 ,500 , 5
oz0103 ,532 , 2
oz0105 ,545 , 1
C01 ,oz1002 ,2017-05-21 16:02:46.533
oz0106 ,558 , 5
oz0105 ,594 , 2
oz0104 ,671 , 1
S00 ,oz1000 ,2017-05-21 16:04:00.990
oz0409 ,118 , 5
oz0406 ,152 , 2
oz0407 ,153 , 1
C00 ,oz1003 ,2017-05-21 16:04:32.472
oz0102 ,534 , 5
oz0100 ,585 , 2
oz0104 ,587 , 1
C00 ,oz1000 ,2017-05-21 16:42:41.525
oz0103 ,595 , 5
oz0101 ,713 , 2
oz0102 ,748 , 1
C00 ,oz1000 ,2017-05-21 18:24:58.260
oz0101 ,519 , 5
oz0102 ,615 , 2
oz0100 ,715 , 1
C00 ,oz1000 ,2017-05-21 18:34:56.864
oz0100 ,557 , 5
oz0102 ,565 , 2
oz0101 ,722 , 1
C00 ,oz1002 ,2017-05-21 18:37:41.127
oz0101 ,530 , 5
oz0100 ,617 , 2
oz0103 ,706 , 1
R00 ,oz1000 ,2017-05-21 20:07:19.990
oz0407 ,10 , 5
oz0406 ,11 , 2
oz0409 ,12 , 1
